Tiernamen Datenbank,,
Tiernamen Latein,Tiername Deutsch,Tiername Russisch
,Affen:,
Cercopithecus cephus ,Blaumaulmeerkatze ,Голуболицая мартышка
Ateles fusciceps rufiventris,Braunkopf-Klammeraffe ,Буроголовая коата
Mandrillus leucophaeus,Drill,Дрил
Lemur catta ,Katta ,Кошачий лемур
Saguinus oedipus ,Lisztäffchen,Эдипов тамарин
Papio hamadryas ,Mantelpavian,Гамадрил
Varecia ruba,Roter Vari,Рыжий/Лемуры вари
Cercocebus torquatus ,Rotscheitelmangabe,Красноголовый мангобей
Pan troglodytes ,Schimpanse,Обыкновенный шимпанзе
Symphalangus syndatylus ,Siamang,Хайнаньский гиббон 
Hylobates molch ,Silbergibbon,Серебристый гиббон
Pong abelii ,Sumatra-Orang-Utan,Суматранский орангутан
Gorilla gorilla gorilla ,Westlicher Flachlandgorilla,Западная равнинная горилла
,Raubtiere,
Ursus maritimus ,Eisbär ,Белый медведь
Suricata suricatta ,Erdmännchen ,Сурикат
Lynx l. lynx ,Europäischer Luchs ,Обыкновенная рысь
Canis l. lupus ,Europäischer Wolf ,Волк
Panthera leo ,Löwe,Лев
Otaria byronia ,Mähnenrobbe ,Южный морской лев
Chrysocyon brachyurus ,Mähnenwolf ,Гривистый волк
Otocolobus manul ,Manul ,Манул
Procyon lotor ,Nordamerikanischer Waschbär ,Енот-полоскун
Vulpes lagopus ,Polarfuchs,Песец/полярная лисица
Ailurus f. fulgens,Roter Panda,Малая панда
Panthera tigris altaica,Sibirischer Tiger,Амурский тигр
Gulo g. gulo ,Vielfraß,Росомаха
,Säugetiere,
Macropus agilis ,Flinkwallaby ,Прыткий валлаби 
Macropus rufus ,Rotes Riesenkänguru,Большой рыжий кенгуру
Wallabia bicolor ,Sumpfwallaby ,Болотный валлаби
Macroscelides proboscideus ,Kurzohrrüsselspringer ,Короткоухий прыгунчик
Rhynchocyon petersi ,Rotschulter-Rüsselhündchen ,Хоботковая собачка Петерса
Procavia capensis capensis ,Kap-Klippschliefer ,Капский даман
Pteropus giganteus ,Indischer Riesenflughund,Индийская летучая лисица
Myrmecophaga tridactyla ,Großer Ameisenbär ,Гигантский муравьед
Tolypeutes matacus ,Südliches Kugelgürteltier ,Шаровидный броненосец
Choloepus didactylus ,Zweifinger-Faultier ,Двупалый ленивец
Oryctolagus cuniculus dom. ,Marderkaninchen ,Дикий кролик
Lepus timidus ,Schneehase ,Заяц-беляк
Marmota marmota,Alpenmurmeltier,Альпийский сурок
Dasyprocta azarae ,Azara-Aguti ,Агути Азары
Hydrochoerus hydrochaeris,Capybara (Wasserschwein),Капибара
Dolichotis patagonum ,Großer Pampashase (Mara),Патагонская мара
Mus musculus ,Hausmaus ,Домова́я мышь
Cavia porcellus ,Hausmeerschweinchen ,Морская свинка
Hystrix indica ,Weißschwanz- Stachelschwein ,Индийский дикобраз
Cavia aperea,Wildmeerschweinchen,Бразильская свинка
Elephas maximus ,Asiatischer Elefant ,Азиатский слон
Equus zebra hartmannae ,Hartmann-Bergzebra,Горная зебра Хартмана
Rhinoceros unicornis ,Indisches Panzernashorn ,Индийский носорог
Equus kiang holdereri ,Kiang ,Кианг/Кулан
Equus przewalskii ,Przewalski-Urwildpferd ,Лошадь Пржевальского
Equus caballus caballus ,Shetland-Pony ,Домашняя лошадь
Equus caballus ferus ,Tarpan-Rückzüchtung ,Тарпан
Rupicapra pyrenaica ornata ,Abruzzengämse,Пиренейская серна
Lama pacos,Alpaka,Альпака
Capra ibex ,Alpensteinbock ,Альпийский горный козёл
Bos primigenius taurus ,Auerochsen-Rückzüchtung ,Тур 
Axis axis ,Axishirsch ,Аксис 
Capra hircus ,Bulgarische Langhaarziege,Домашняя коза
Muntiacus reevesi ,Chinesischer Muntjak,Китайский мунтжак
Bos taurus ,Dahomey-Zwergrind ,? бык
Capra hircus,Damaraziege,Домашняя коза
Tragelaphus oryx ,Elenantilope ,Канна 
Tragelaphus strepsiceros ,Großer Kudu ,Большой куду
Bos g. grunniens ,Hausyak ,Як
Antilope cervicapra ,Hirschziegenantilope ,Гарна
Bos j. javanicus ,Java-Banteng ,Бантенг 
Sus s. scrofa ,Kunekune ,Кабан 
Lama glama,Lama,Лама
Capra falconeri,Markhor,Винторогий козёл
Dama mesopotamica ,Mesopotamischer Damhirsch ,Иранская лань
Nanger dama mhorr ,Mhorrgazelle,Газель-дама 
Budorcas t. taxicolor ,Mishmi-Takin ,Такин
Giraffa camelopardalis reticulata ,Netzgiraffe,Сетчатый жираф
